from,to,distance
TT5-1,w6,42.29
w6,TT5-1,42.29
w6,TT5-2,42.29
TT5-2,w6,42.29
TT8-1,w6,42.29
w6,TT8-1,42.29
w6,TT8-2,42.29
TT8-2,w6,42.29
TT8-3,w6,42.29
w6,TT8-3,42.29
w6,TT9-1,42.29
TT9-1,w6,42.29
VIMB-D,W15-1,39.55
W15-1,VIMB-D,39.55
VIMB-D,W15-2,39.55
W15-2,VIMB-D,39.55
VIMB-D,W16-1,40.37
W16-1,VIMB-D,40.37
W16-2,VIMB-D,40.37
VIMB-D,W16-2,40.37
computer dept,VIMB-D,24.66
VIMB-D,computer dept,24.66
mws,VIMB-D,39.55
VIMB-D,mws,39.55
W15-1,workshop,42.68
workshop,W15-1,42.68
workshop,W15-2,42.68
W15-2,workshop,42.68
W16-1,w17,65.73
w17,W16-1,65.73
W16-1,w18,88.0
w18,W16-1,88.0
W16-1,w19,60.3
w19,W16-1,60.3
w17,W16-2,65.73
W16-2,w17,65.73
w18,W16-2,88.0
W16-2,w18,88.0
w19,W16-2,60.3
W16-2,w19,60.3
W8R,w7,8.21
w7,W8R,8.21
mws,workshop,42.68
workshop,mws,42.68
w17,w18,32.55
w18,w17,32.55
w17,w19,46.2
w19,w17,46.2
w18,w19,41.76
w19,w18,41.76
w6,w7,20.93
w7,w6,20.93
